                                                 Nearest Neighbour Results                                                 
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% | 20.31% (0.94%) * | 18.00% (1.33%) * | 11.12% (0.71%) * |  9.11% (0.37%) * |  7.44% (0.44%) *
audiology       |     74.77% | 60.17% (2.17%) * | 42.00% (2.56%) * | 31.85% (2.13%) * | 29.62% (1.78%) * | 26.47% (1.81%) *
autos           |     67.35% | 64.50% (1.50%) * | 61.40% (2.21%) * | 65.96% (2.02%)   | 52.92% (2.39%) * | 57.37% (0.95%) *
credit-a        |     44.49% | 39.98% (1.05%) * | 41.35% (0.99%) * | 32.04% (1.50%) * | 34.63% (0.79%) * | 34.71% (0.73%) *
hypothyroid     |      7.71% |  8.27% (0.52%) * |  7.33% (0.18%) * |  4.74% (0.14%) * |  5.01% (0.13%) * |  4.79% (0.10%) *
letter          |     96.26% | 16.86% (0.35%) * |  9.61% (0.20%) * |  6.05% (0.08%) * |  4.71% (0.06%) * |  3.93% (0.07%) *
microarray      |     50.20% | 59.47% (2.55%) * | 49.58% (2.36%)   | 42.45% (0.83%) * | 50.71% (0.95%)   | 50.88% (0.60%)  
vote            |     38.63% |  6.45% (1.01%) * | 10.42% (1.16%) * |  8.26% (0.55%) * |  7.12% (0.19%) * |  7.91% (0.39%) *

                                                   Decision Tree Results                                                   
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% |  9.17% (0.87%) * |  3.66% (0.77%) * |  1.47% (0.45%) * |  1.44% (0.30%) * |  0.76% (0.25%) *
audiology       |     74.77% | 63.17% (4.31%) * | 46.73% (6.73%) * | 30.42% (1.61%) * | 21.45% (2.08%) * | 22.86% (1.74%) *
autos           |     67.35% | 70.50% (5.68%)   | 44.70% (3.95%) * | 34.43% (2.68%) * | 29.67% (2.21%) * | 20.26% (2.29%) *
credit-a        |     44.49% | 20.24% (2.25%) * | 13.13% (1.29%) * | 20.05% (1.36%) * | 19.11% (1.42%) * | 20.01% (1.16%) *
hypothyroid     |      7.71% |  2.95% (0.34%) * |  1.54% (0.21%) * |  0.64% (0.04%) * |  0.77% (0.07%) * |  0.61% (0.06%) *
letter          |     96.26% | 28.96% (0.46%) * | 21.44% (0.49%) * | 16.40% (0.20%) * | 13.27% (0.10%) * | 11.82% (0.14%) *
microarray      |     50.20% | 51.40% (4.95%)   | 52.48% (3.94%)   | 51.03% (2.10%)   | 46.57% (2.41%) * | 49.41% (1.36%)  
vote            |     38.63% | 14.45% (3.17%) * |  5.72% (1.41%) * |  7.00% (1.25%) * |  2.89% (0.52%) * |  5.91% (0.49%) *

