                                                 Nearest Neighbour Results                                                 
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% | 20.31% (0.94%) * | 18.00% (1.33%) * | 11.12% (0.71%) * |  9.11% (0.37%) * |  7.44% (0.44%) *
audiology       |     74.77% | 60.17% (2.17%) * | 42.00% (2.56%) * | 31.85% (2.13%) * | 29.62% (1.78%) * | 26.47% (1.81%) *
autos           |     67.35% | 64.50% (1.50%) * | 61.40% (2.21%) * | 65.96% (2.02%)   | 52.92% (2.39%) * | 57.37% (0.95%) *
credit-a        |     44.49% | 39.98% (1.05%) * | 41.35% (0.99%) * | 32.04% (1.50%) * | 34.63% (0.79%) * | 34.71% (0.73%) *
hypothyroid     |      7.71% |  8.27% (0.52%) * |  7.33% (0.18%) * |  4.74% (0.14%) * |  5.01% (0.13%) * |  4.79% (0.10%) *
letter          |     96.26% | 16.86% (0.35%) * |  9.61% (0.20%) * |  6.05% (0.08%) * |  4.71% (0.06%) * |  3.93% (0.07%) *
microarray      |     50.20% | 59.47% (2.55%) * | 49.58% (2.36%)   | 42.45% (0.83%) * | 50.71% (0.95%)   | 50.88% (0.60%)  
vote            |     38.63% |  6.45% (1.01%) * | 10.42% (1.16%) * |  8.26% (0.55%) * |  7.12% (0.19%) * |  7.91% (0.39%) *

                                                   Decision Tree Results                                                   
---------------------------------------------------------------------------------------------------------------------------
    Dataset     |  Baseline  |       10%        |       25%        |       50%        |       75%        |       100%      
anneal          |     23.83% |  9.75% (1.77%) * |  4.01% (0.65%) * |  1.45% (0.41%) * |  1.32% (0.37%) * |  0.77% (0.20%) *
audiology       |     74.77% | 63.33% (3.80%) * | 45.73% (3.76%) * | 29.44% (2.34%) * | 21.98% (1.96%) * | 22.95% (1.39%) *
autos           |     67.35% | 72.00% (8.43%)   | 47.70% (4.05%) * | 33.60% (3.30%) * | 29.18% (2.53%) * | 21.27% (3.08%) *
credit-a        |     44.49% | 20.05% (2.39%) * | 12.04% (1.19%) * | 19.99% (1.12%) * | 19.46% (1.24%) * | 19.25% (1.37%) *
hypothyroid     |      7.71% |  2.92% (0.21%) * |  1.59% (0.30%) * |  0.63% (0.07%) * |  0.78% (0.15%) * |  0.60% (0.06%) *
letter          |     96.26% | 28.83% (0.38%) * | 21.55% (0.44%) * | 16.44% (0.23%) * | 13.29% (0.12%) * | 11.78% (0.17%) *
microarray      |     50.20% | 51.70% (5.09%)   | 51.79% (3.13%)   | 51.21% (2.37%)   | 46.64% (1.83%) * | 49.02% (1.11%)  
vote            |     38.63% | 13.85% (3.07%) * |  5.71% (1.20%) * |  7.09% (1.41%) * |  2.98% (0.45%) * |  5.68% (0.57%) *

